"","home_team_long_name","league_name","home_team_short_name","home_team_api_id","variable","value"
"265","Borussia Dortmund","Germany 1. Bundesliga","DOR",9789,"Overall",813.481823561429
"266","SC Freiburg","Germany 1. Bundesliga","FRE",8358,"Overall",791.91222658453
"267","SpVgg Greuther Fürth","Germany 1. Bundesliga","GRF",8357,"Overall",751.679533011272
"268","Hannover 96","Germany 1. Bundesliga","HAN",9904,"Overall",811.831083146083
"269","FC Bayern Munich","Germany 1. Bundesliga","BMU",9823,"Overall",916.64067370932
"270","1. FC Nürnberg","Germany 1. Bundesliga","NUR",8165,"Overall",796.891310731189
"271","1. FSV Mainz 05","Germany 1. Bundesliga","MAI",9905,"Overall",800.084047503844
"272","VfB Stuttgart","Germany 1. Bundesliga","STU",10269,"Overall",806.626548906919
"273","FC Schalke 04","Germany 1. Bundesliga","S04",10189,"Overall",836.381672720982
"274","VfL Wolfsburg","Germany 1. Bundesliga","WOL",8721,"Overall",833.486539322746
"275","TSG 1899 Hoffenheim","Germany 1. Bundesliga","HOF",8226,"Overall",794.980026438515
"276","Swansea City","England Premier League","SWA",10003,"Overall",799.376799167017
"277","Arsenal","England Premier League","ARS",9825,"Overall",852.666327043791
"278","Fulham","England Premier League","FUL",9879,"Overall",839.323974049596
"279","Reading","England Premier League","REA",9798,"Overall",757.547759532932
"280","Norwich City","England Premier League","NOR",9850,"Overall",784.059393536249
"281","Southampton","England Premier League","SOU",8466,"Overall",795.316552677658
"282","Stoke City","England Premier League","STK",10194,"Overall",807.545950805467
"283","Tottenham Hotspur","England Premier League","TOT",8586,"Overall",855.582033475784
"284","Sunderland","England Premier League","SUN",8472,"Overall",814.504258328344
"285","Newcastle United","England Premier League","NEW",10261,"Overall",829.509676700273
"286","Liverpool","England Premier League","LIV",8650,"Overall",878.212080613334
"287","Everton","England Premier League","EVE",8668,"Overall",845.824616364818
"288","Queens Park Rangers","England Premier League","QPR",10172,"Overall",831.631061723067
"289","West Bromwich Albion","England Premier League","WBA",8659,"Overall",800.71274355243
"290","Aston Villa","England Premier League","AVL",10252,"Overall",775.785369359854
"291","Manchester United","England Premier League","MUN",10260,"Overall",862.495115049578
"292","West Ham United","England Premier League","WHU",8654,"Overall",797.542494242597
"293","Wigan Athletic","England Premier League","WIG",8528,"Overall",797.964034309509
"294","Manchester City","England Premier League","MCI",8456,"Overall",888.558758176149
"295","Wigan Athletic","England Premier League","WIG",8528,"Overall",789.221104011837
"296","Norwich City","England Premier League","NOR",9850,"Overall",782.705226869582
"297","Everton","England Premier League","EVE",8668,"Overall",833.338824092574
"298","Manchester United","England Premier League","MUN",10260,"Overall",884.559368335122
"299","Sunderland","England Premier League","SUN",8472,"Overall",811.601162353111
"300","Southampton","England Premier League","SOU",8466,"Overall",790.24512410623
"301","Liverpool","England Premier League","LIV",8650,"Overall",854.123250622164
"302","Stoke City","England Premier League","STK",10194,"Overall",806.224017183533
"303","Fulham","England Premier League","FUL",9879,"Overall",833.096198781386
"304","Tottenham Hotspur","England Premier League","TOT",8586,"Overall",867.590712524045
"305","Aston Villa","England Premier League","AVL",10252,"Overall",782.35099538143
"306","Queens Park Rangers","England Premier League","QPR",10172,"Overall",821.904646452514
"307","Chelsea","England Premier League","CHE",8455,"Overall",888.486953498523
"308","West Ham United","England Premier League","WHU",8654,"Overall",806.180321793468
"309","Swansea City","England Premier League","SWA",10003,"Overall",809.972955136651
"310","West Bromwich Albion","England Premier League","WBA",8659,"Overall",797.68496817213
"311","Newcastle United","England Premier League","NEW",10261,"Overall",819.202613725685
"312","Reading","England Premier League","REA",9798,"Overall",752.483910200951
"313","Arsenal","England Premier League","ARS",9825,"Overall",865.906668762691
"314","Liverpool","England Premier League","LIV",8650,"Overall",866.555746241184
"315","Chelsea","England Premier League","CHE",8455,"Overall",885.304929048958
"316","Norwich City","England Premier League","NOR",9850,"Overall",777.04808587839
"317","Everton","England Premier League","EVE",8668,"Overall",851.706616300366
"318","Sunderland","England Premier League","SUN",8472,"Overall",800.562941801733
"319","Wigan Athletic","England Premier League","WIG",8528,"Overall",798.231956588942
"320","Swansea City","England Premier League","SWA",10003,"Overall",805.125732914429
"321","Manchester United","England Premier League","MUN",10260,"Overall",889.922774598528
"322","Queens Park Rangers","England Premier League","QPR",10172,"Overall",824.802473178995
"323","Manchester City","England Premier League","MCI",8456,"Overall",907.835774993555
"324","West Ham United","England Premier League","WHU",8654,"Overall",809.071230884378
"325","Arsenal","England Premier League","ARS",9825,"Overall",854.234182821784
"326","Stoke City","England Premier League","STK",10194,"Overall",800.12408979909
